name_cn,name_en,weekday,class_of_day,norm_odd_even,location
毛泽东思想和中国特色社会主义理论体系概论,Mao Zedong Thought and Introduction to the Theoretical System of Socialism with Chinese Characteristics,3,3,0,荔园1栋101
毛泽东思想和中国特色社会主义理论体系概论,Mao Zedong Thought and Introduction to the Theoretical System of Socialism with Chinese Characteristics,5,2,1,荔园1栋101
